date,location,total_cases,new_cases,total_deaths,new_deaths,total_tests,new_tests,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_cases_smoothed,new_deaths_smoothed
30-01-2020,India,1,1,,0,,,,,,,,
31-01-2020,India,1,0,,0,,,,,,,,
01-02-2020,India,1,0,,0,,,,,,,,
02-02-2020,India,2,1,,0,,,,,,,,
03-02-2020,India,3,1,,0,,,,,,,,
04-02-2020,India,3,0,,0,,,,,,,,
05-02-2020,India,3,0,,0,,,,,,,0.429,
06-02-2020,India,3,0,,0,,,,,,,0.286,
07-02-2020,India,3,0,,0,,,,,,,0.286,
08-02-2020,India,3,0,,0,,,,,,,0.286,
09-02-2020,India,3,0,,0,,,,,,,0.143,
10-02-2020,India,3,0,,0,,,,,,,0,
11-02-2020,India,3,0,,0,,,,,,,0,
12-02-2020,India,3,0,,0,,,,,,,0,
13-02-2020,India,3,0,,0,,,,,,,0,
14-02-2020,India,3,0,,0,,,,,,,0,
15-02-2020,India,3,0,,0,,,,,,,0,
16-02-2020,India,3,0,,0,,,,,,,0,
17-02-2020,India,3,0,,0,,,,,,,0,
18-02-2020,India,3,0,,0,,,,,,,0,
19-02-2020,India,3,0,,0,,,,,,,0,
20-02-2020,India,3,0,,0,,,,,,,0,
21-02-2020,India,3,0,,0,,,,,,,0,
22-02-2020,India,3,0,,0,,,,,,,0,
23-02-2020,India,3,0,,0,,,,,,,0,
24-02-2020,India,3,0,,0,,,,,,,0,
25-02-2020,India,3,0,,0,,,,,,,0,
26-02-2020,India,3,0,,0,,,,,,,0,
27-02-2020,India,3,0,,0,,,,,,,0,
28-02-2020,India,3,0,,0,,,,,,,0,
29-02-2020,India,3,0,,0,,,,,,,0,
01-03-2020,India,3,0,,0,,,,,,,0,
02-03-2020,India,5,2,,0,,,,,,,0.286,
03-03-2020,India,5,0,,0,,,,,,,0.286,
04-03-2020,India,28,23,,0,,,,,,,3.571,
05-03-2020,India,30,2,,0,,,,,,,3.857,
06-03-2020,India,31,1,,0,,,,,,,4,
07-03-2020,India,34,3,,0,,,,,,,4.429,
08-03-2020,India,39,5,,0,,,,,,,5.143,
09-03-2020,India,43,4,,0,,,,,,,5.429,
10-03-2020,India,56,13,,0,,,,,,,7.286,
11-03-2020,India,62,6,1,1,,,,,,,4.857,
12-03-2020,India,73,11,1,0,,,,,,,6.143,
13-03-2020,India,82,9,2,1,6500,,,,,,7.286,
14-03-2020,India,102,20,2,0,,,,,,,9.714,
15-03-2020,India,113,11,2,0,,,,,,,10.571,
16-03-2020,India,119,6,2,0,,,,,,,10.857,
17-03-2020,India,142,23,3,1,,,,,,,12.286,0.429
18-03-2020,India,156,14,3,0,13125,,,,,,13.429,0.286
19-03-2020,India,194,38,4,1,13316,191,,,,,17.286,0.429
20-03-2020,India,244,50,5,1,14376,1060,,,,,23.143,0.429
21-03-2020,India,330,86,4,0,15701,1325,,,,,32.571,
22-03-2020,India,396,66,7,3,16999,1298,,,,,40.429,
23-03-2020,India,499,103,10,3,20707,3708,,,,,54.286,
24-03-2020,India,536,37,10,0,20864,157,,,,,56.286,
25-03-2020,India,657,121,12,2,25144,4280,,,,,71.571,
26-03-2020,India,727,70,20,8,,,,,,,76.143,
27-03-2020,India,887,160,20,0,27688,,,,,,91.857,
28-03-2020,India,987,100,24,4,,,,,,,93.857,2.857
29-03-2020,India,1024,37,27,3,,,,,,,89.714,2.857
30-03-2020,India,1251,227,32,5,,,,,,,107.429,3.143
31-03-2020,India,1397,146,35,3,,,,,,,123,3.571
